Description,Measure,Energy
Babyfood; vegetables; sweet potatoes; junior,1.0 cup,134
Babyfood; yogurt; whole milk; with fruit; multigrain cereal and added DHA,1.0 oz,30
Babyfood; yogurt; whole milk; with fruit; multigrain cereal and added iron,1.0 tbsp,15
Bacon and beef sticks,1.0 oz,145
Bacon bits; meatless,1.0 tbsp,33
Bacon; meatless,1.0 cup,446
Bacon; pre-sliced; reduced/low sodium; unprepared,1.0 slice,106
Bagel; wheat,1.0 bagel,245
Bagels; cinnamon-raisin,"1.0 mini bagel (2-1/2"" dia)",71
Bagels; cinnamon-raisin; toasted,"1.0 mini bagel (2-1/2"" dia)",71
Bagels; egg,1.0 oz,79
Bagels; oat bran,"1.0 mini bagel (2-1/2"" dia)",66
