Description,Measure,Energy
Pork; fresh; loin; tenderloin; separable lean only; cooked; roasted,3.0 oz,122
Pork; fresh; loin; tenderloin; separable lean only; raw,3.0 oz,93
Pork; fresh; loin; top loin (chops); boneless; enhanced; separable lean and fat; cooked; pan-broiled,1.0 chop boneless (yield from 189g raw meat),285
Pork; fresh; loin; top loin (chops); boneless; enhanced; separable lean only; cooked; pan-broiled,1.0 chop boneless,254
Pork; fresh; loin; top loin (chops); boneless; separable lean and fat; cooked; braised,1.0 chop,270
Pork; fresh; loin; top loin (chops); boneless; separable lean and fat; cooked; broiled,1.0 chop,284
Pork; fresh; loin; top loin (chops); boneless; separable lean and fat; cooked; pan-fried,1.0 chop,278
Pork; fresh; loin; top loin (chops); boneless; separable lean and fat; raw,3.0 oz,132
Pork; fresh; loin; top loin (chops); boneless; separable lean only; cooked; braised,1.0 chop,230
Pork; fresh; loin; top loin (chops); boneless; separable lean only; cooked; broiled,1.0 chop,251
Pork; fresh; loin; top loin (chops); boneless; separable lean only; cooked; pan-fried,1.0 chop,244
Pork; fresh; loin; top loin (chops); boneless; separable lean only; raw,3.0 oz,108
Pork; fresh; loin; top loin (roasts); boneless; separable lean and fat; cooked; roasted,3.0 oz,163
Pork; fresh; loin; top loin (roasts); boneless; separable lean and fat; raw,3.0 oz,141
Pork; fresh; loin; top loin (roasts); boneless; separable lean only; cooked; roasted,3.0 oz,147
Pork; fresh; loin; top loin (roasts); boneless; separable lean only; raw,3.0 oz,112
Pork; fresh; loin; whole; separable lean and fat; cooked; braised,3.0 oz,203
Pork; fresh; loin; whole; separable lean and fat; cooked; broiled,3.0 oz,206
Pork; fresh; loin; whole; separable lean and fat; cooked; roasted,3.0 oz,211
Pork; fresh; loin; whole; separable lean and fat; raw,3.0 oz,168
Pork; fresh; loin; whole; separable lean only; cooked; braised,3.0 oz,173
Pork; fresh; loin; whole; separable lean only; cooked; broiled,3.0 oz,178
Pork; fresh; loin; whole; separable lean only; cooked; roasted,3.0 oz,178
Pork; fresh; loin; whole; separable lean only; raw,3.0 oz,122
Pork; fresh; separable fat; cooked,1.0 oz,177
Pork; fresh; separable fat; raw,1.0 oz,179
Pork; fresh; shoulder; (Boston butt); blade (steaks); separable lean and fat; cooked; braised,3.0 oz,227
Pork; fresh; shoulder; (Boston butt); blade (steaks); separable lean and fat; raw,3.0 oz,158
Pork; fresh; shoulder; (Boston butt); blade (steaks); separable lean only; cooked; braised,3.0 oz,198
Pork; fresh; shoulder; (Boston butt); blade (steaks); separable lean only; raw,3.0 oz,112
Pork; fresh; shoulder; arm picnic; separable lean and fat; cooked; braised,3.0 oz,200
Pork; fresh; shoulder; arm picnic; separable lean and fat; cooked; roasted,1.0 cup; diced,428
Pork; fresh; shoulder; arm picnic; separable lean and fat; raw,3.0 oz,164
Pork; fresh; shoulder; arm picnic; separable lean only; cooked; braised,3.0 oz,165
Pork; fresh; shoulder; arm picnic; separable lean only; cooked; roasted,3.0 oz,194
Pork; fresh; shoulder; arm picnic; separable lean only; raw,3.0 oz,102
Pork; fresh; shoulder; blade; boston (roasts); separable lean and fat; cooked; roasted,3.0 oz,229
Pork; fresh; shoulder; blade; boston (roasts); separable lean only; cooked; roasted,3.0 oz,197
Pork; fresh; shoulder; blade; boston (steaks); separable lean and fat; cooked; broiled,3.0 oz,220
Pork; fresh; shoulder; blade; boston (steaks); separable lean only; cooked; broiled,3.0 oz,193
Pork; fresh; shoulder; whole; separable lean and fat; cooked; roasted,1.0 cup; diced,394
Pork; fresh; shoulder; whole; separable lean and fat; raw,1.0 oz,67
Pork; fresh; shoulder; whole; separable lean only; cooked; roasted,1.0 cup; diced,310
Pork; fresh; shoulder; whole; separable lean only; raw,1.0 oz,42
Pork; fresh; spareribs; separable lean and fat; cooked; braised,3.0 oz,337
Pork; fresh; spareribs; separable lean and fat; cooked; roasted,3.0 oz,307
Pork; fresh; spareribs; separable lean and fat; raw,3.0 oz,235
Pork; fresh; variety meats and by-products; brain; cooked; braised,3.0 oz,117
Pork; fresh; variety meats and by-products; brain; raw,1.0 oz,36
Pork; fresh; variety meats and by-products; chitterlings; cooked; simmered,3.0 oz,198
Pork; fresh; variety meats and by-products; chitterlings; raw,1.0 oz,52
Pork; fresh; variety meats and by-products; ears; frozen; cooked; simmered,1.0 ear (yield after cooking),184
Pork; fresh; variety meats and by-products; ears; frozen; raw,1.0 oz,66
Pork; fresh; variety meats and by-products; feet; cooked; simmered,3.0 oz,202
Pork; fresh; variety meats and by-products; feet; raw,1.0 oz,60
Pork; fresh; variety meats and by-products; heart; cooked; braised,1.0 cup,215
Pork; fresh; variety meats and by-products; heart; raw,1.0 oz,33
Pork; fresh; variety meats and by-products; jowl; raw,1.0 oz,186
Pork; fresh; variety meats and by-products; kidneys; cooked; braised,1.0 cup,211
Pork; fresh; variety meats and by-products; kidneys; raw,1.0 oz,28
Pork; fresh; variety meats and by-products; leaf fat; raw,1.0 oz,243
Pork; fresh; variety meats and by-products; liver; cooked; braised,3.0 oz,140
Pork; fresh; variety meats and by-products; liver; raw,1.0 oz,38
Pork; fresh; variety meats and by-products; lungs; cooked; braised,3.0 oz,84
Pork; fresh; variety meats and by-products; lungs; raw,1.0 oz,24
Pork; fresh; variety meats and by-products; mechanically separated; raw,1.0 oz,86
Pork; fresh; variety meats and by-products; pancreas; cooked; braised,3.0 oz,186
Pork; fresh; variety meats and by-products; pancreas; raw,1.0 oz,56
Pork; fresh; variety meats and by-products; spleen; cooked; braised,3.0 oz,127
Pork; fresh; variety meats and by-products; spleen; raw,1.0 oz,28
Pork; fresh; variety meats and by-products; stomach; cooked; simmered,3.0 oz,133
Pork; fresh; variety meats and by-products; stomach; raw,1.0 oz,45
Pork; fresh; variety meats and by-products; tail; cooked; simmered,3.0 oz,337
Pork; fresh; variety meats and by-products; tail; raw,1.0 oz,107
Pork; fresh; variety meats and by-products; tongue; cooked; braised,3.0 oz,230
Pork; fresh; variety meats and by-products; tongue; raw,1.0 oz,64
Pork; ground; 72% lean / 28% fat; cooked; crumbles,4.0 oz,444
Pork; ground; 72% lean / 28% fat; cooked; pan-broiled,3.0 oz grilled patties,320
Pork; ground; 84% lean / 16% fat; cooked; crumbles,3.0 oz grilled patties,246
Pork; ground; 84% lean / 16% fat; cooked; pan-broiled,3.0 oz grilled patties,256
Pork; ground; 84% lean / 16% fat; raw,4.0 oz,246
Pork; ground; 96% lean / 4% fat; cooked; crumbles,3.0 oz grilled patties,159
Pork; ground; 96% lean / 4% fat; cooked; pan-broiled,3.0 oz grilled patties,157
Pork; ground; 96% lean / 4% fat; raw,4.0 oz,137
Pork; Leg Cap Steak; boneless; separable lean and fat; raw,3.0 oz,105
Pork; Leg sirloin tip roast; boneless; separable lean and fat; cooked; braised,3.0 oz,133
Pork; Leg sirloin tip roast; boneless; separable lean and fat; raw,3.0 oz,96
Pork; loin; leg cap steak; boneless; separable lean and fat; cooked; broiled,3.0 oz,134
Pork; oriental style; dehydrated,1.0 cup,135
Pork; pickled pork hocks,3.0 oz,200
Pork; Shoulder breast; boneless; separable lean and fat; cooked; broiled,3.0 oz,138
Pork; Shoulder breast; boneless; separable lean and fat; raw,3.0 oz,108
Pork; Shoulder petite tender; boneless; separable lean and fat; raw,1.0 piece,134
Pork; shoulder; petite tender; boneless; separable lean and fat; cooked; broiled,1.0 piece,143
Potato chips; without salt; reduced fat,1.0 oz,138
Potato flour,1.0 cup,571
Potato pancakes,1.0 small 2-3/4 in. dia.; 5/8 in. thick.,59
Potato puffs; frozen; oven-heated,10.0 puffs,152
Potato puffs; frozen; unprepared,1.0 cup,222
Potato salad with egg,0.5 cup,196
Potato salad; home-prepared,1.0 cup,358
Potato soup; instant; dry mix,1.0 serving 1/3 cup,134
Potatoes; au gratin; dry mix; prepared with water; whole milk and butter,0.167 package (5.5 oz) yields,127
Potatoes; au gratin; dry mix; unprepared,0.167 package (5.5 oz),82
Potatoes; au gratin; home-prepared from recipe using butter,1.0 cup,323
Potatoes; au gratin; home-prepared from recipe using margarine,1.0 cup,323
Potatoes; baked; flesh and skin; with salt,0.5 cup,57
Potatoes; baked; flesh and skin; without salt,1.0 NLEA serving,138
Potatoes; baked; flesh; with salt,0.5 cup,57
Potatoes; baked; flesh; without salt,0.5 cup,57
Potatoes; baked; skin; with salt,1.0 skin,115
Potatoes; baked; skin; without salt,1.0 skin,115
Potatoes; boiled; cooked in skin; flesh; with salt,0.5 cup,68
Potatoes; boiled; cooked in skin; flesh; without salt,0.5 cup,68
Potatoes; boiled; cooked in skin; skin; with salt,1.0 skin,27
Potatoes; boiled; cooked in skin; skin; without salt,1.0 skin,27
Potatoes; boiled; cooked without skin; flesh; with salt,0.5 cup,67
Potatoes; boiled; cooked without skin; flesh; without salt,0.5 cup,67
Potatoes; canned; drained solids,1.0 cup,108
Potatoes; canned; drained solids; no salt added,1.0 cup,112
Potatoes; canned; solids and liquids,1.0 cup; whole,132
Potatoes; flesh and skin; raw,0.5 cup; diced,58
Potatoes; french fried; all types; salt added in processing; frozen; home-prepared; oven heated,10.0 fries,120
Potatoes; french fried; all types; salt added in processing; frozen; unprepared,10.0 strip,131
Potatoes; french fried; all types; salt not added in processing; frozen; as purchased,10.0 strips,98
Potatoes; french fried; all types; salt not added in processing; frozen; oven-heated,10.0 strip,127
Potatoes; french fried; cottage-cut; salt not added in processing; frozen; as purchased,10.0 strips,99
Potatoes; french fried; cottage-cut; salt not added in processing; frozen; oven-heated,10.0 strips,109
Potatoes; french fried; crinkle or regular cut; salt added in processing; frozen; as purchased,10.0 strip,123
Potatoes; french fried; crinkle or regular cut; salt added in processing; frozen; oven-heated,10.0 strip,115
Potatoes; french fried; cross cut; frozen; unprepared,3.0 oz,164
Potatoes; french fried; shoestring; salt added in processing; frozen; as purchased,10.0 strip,50
Potatoes; french fried; shoestring; salt added in processing; frozen; oven-heated,10.0 strip,42
Potatoes; french fried; steak cut; salt not added in processing; frozen; unprepared,3.0 oz,117
Potatoes; french fried; steak fries; salt added in processing; frozen; as purchased,10.0 strip,203
Potatoes; french fried; steak fries; salt added in processing; frozen; oven-heated,10.0 strip,202
Potatoes; french fried; wedge cut; frozen; unprepared,3.0 oz,141
Potatoes; frozen; french fried; par fried; cottage-cut; prepared; heated in oven; with salt,10.0 strips,109
Potatoes; frozen; french fried; par fried; extruded; prepared; heated in oven; without salt,10.0 strips,166
Potatoes; frozen; french fried; par fried; extruded; unprepared,10.0 strips,169
Potatoes; frozen; whole; unprepared,1.0 cup,142
Potatoes; hash brown; frozen; plain; prepared; pan fried in canola oil,1.0 cup prepared,328
Potatoes; hash brown; frozen; plain; unprepared,0.5 cup,86
Potatoes; hash brown; frozen; with butter sauce; unprepared,1.0 package (6 oz),230
Potatoes; hash brown; home-prepared,1.0 cup,413
Potatoes; hash brown; refrigerated; prepared; pan-fried in canola oil,1.0 cup prepared,315
Potatoes; hash brown; refrigerated; unprepared,1.0 cup unprepared,134
Potatoes; mashed; dehydrated; flakes without milk; dry form,1.0 cup,212
Potatoes; mashed; dehydrated; granules with milk; dry form,1.0 cup,714
Potatoes; mashed; dehydrated; granules without milk; dry form,1.0 cup,744
Potatoes; mashed; dehydrated; prepared from flakes without milk; whole milk and butter added,1.0 cup,204
Potatoes; mashed; dehydrated; prepared from flakes without milk; whole milk and margarine added,1.0 cup,237
Potatoes; mashed; dehydrated; prepared from granules with milk; water and margarine added,1.0 cup,244
Potatoes; mashed; dehydrated; prepared from granules without milk; whole milk and butter added,1.0 cup,227
Potatoes; mashed; home-prepared; whole milk added,1.0 cup,174
Potatoes; mashed; home-prepared; whole milk and butter added,1.0 cup,237
Potatoes; mashed; home-prepared; whole milk and margarine added,1.0 cup,237
Potatoes; mashed; prepared from granules; without milk; whole milk and margarine,1.0 cup,227
Potatoes; microwaved; cooked in skin; flesh and skin; without salt,"1.0 potato (2-3/4"" dia by 4-3/4"" long)",212
Potatoes; microwaved; cooked in skin; flesh; with salt,0.5 cup,78
Potatoes; microwaved; cooked in skin; flesh; without salt,0.5 cup,78
Potatoes; microwaved; cooked in skin; skin; without salt,1.0 skin,77
Potatoes; microwaved; cooked; in skin; flesh and skin; with salt,"1.0 potato (2-1/3"" x 4-3/4"")",212
Potatoes; microwaved; cooked; in skin; skin with salt,1.0 skin,77
Potatoes; o'brien; home-prepared,1.0 cup,157
Potatoes; raw; skin,1.0 skin,22
Potatoes; red; flesh and skin; baked,"1.0 potato large (3"" to 4-1/4"" dia.",266
Potatoes; red; flesh and skin; raw,0.5 cup; diced,52
Potatoes; roasted; salt added in processing; frozen; unprepared,3.0 oz,110
Potatoes; Russet; flesh and skin; baked,"1.0 potato large (3"" to 4-1/4"" dia.",290
Potatoes; russet; flesh and skin; raw,0.5 cup; diced,59
Potatoes; scalloped; dry mix; prepared with water; whole milk and butter,1.0 cup (unprepared),228
Potatoes; scalloped; dry mix; unprepared,0.167 package (5.5 oz),93
Potatoes; scalloped; home-prepared with butter,1.0 cup,216
Potatoes; scalloped; home-prepared with margarine,1.0 cup,216
Potatoes; white; flesh and skin; baked,"1.0 potato large (3"" to 4-1/4"" dia)",281
Potatoes; white; flesh and skin; raw,0.5 cup; diced,52
Potatoes; yellow fleshed; french fried; frozen; unprepared,3.0 oz,138
Potatoes; yellow fleshed; hash brown; shredded; salt added in processing; frozen; unprepared,3.0 oz,69
Potatoes; yellow fleshed; roasted; salt added in processing; frozen; unprepared,3.0 oz,101
Potsticker or wonton; pork and vegetable; frozen; unprepared,5.0 pieces 1 serving,197
Poultry salad sandwich spread,1.0 tbsp,26
Poultry; mechanically deboned; from backs and necks with skin; raw,0.5 lb,617
Poultry; mechanically deboned; from backs and necks without skin; raw,0.5 lb,452
Poultry; mechanically deboned; from mature hens; raw,0.5 lb,552
Prairie Turnips; boiled (Northern Plains Indians),1.0 bulb,18
Prairie Turnips; raw (Northern Plains Indians),1.0 bulb peeled,20
PREGO Pasta; Chunky Garden Combination Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,70
PREGO Pasta; Chunky Garden Mushroom and Green Pepper Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,90
PREGO Pasta; Chunky Garden Mushroom Supreme Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,90
PREGO Pasta; Chunky Garden Tomato; Onion and Garlic Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,94
PREGO Pasta; Diced Onion and Garlic Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,120
PREGO Pasta; Flavored with Meat Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,81
PREGO Pasta; Fresh Mushroom Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,70
PREGO Pasta; Garlic Supreme Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,110
PREGO Pasta; Heart Smart- Ricotta Parmesan Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,90
PREGO Pasta; Heart Smart- Roasted Red Pepper and Garlic Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,70
PREGO Pasta; Heart Smart- Traditional Sauce; ready-to-serve,0.5 cup,70
PREGO Pasta; Italian Sausage and Garlic Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,90
PREGO Pasta; Mini Meatball Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,100
PREGO Pasta; Mushroom and Garlic Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,81
PREGO Pasta; Mushroom and Parmesan Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,130
PREGO Pasta; Organic Mushroom Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,90
PREGO Pasta; Organic Tomato and Basil Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,90
PREGO Pasta; Roasted Garlic Parmesan Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,100
PREGO Pasta; Tomato; Basil and Garlic Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,80
PREGO Pasta; Traditional Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,70
PREGO Pasta; Zesty Mushroom Italian Sauce; ready-to-serve,1.0 serving 1/2 cup,110
Pretzels; soft,1.0 large,483
Pretzels; soft; unsalted,1.0 large,493
Prickly pears; broiled (Northern Plains Indians),1.0 pad,7
Prickly pears; raw,1.0 cup,61
Prickly pears; raw (Northern Plains Indians),1.0 pad peeled,8
Protein supplement; milk based; Muscle Milk Light; powder,2.0 scoop,198
Protein supplement; milk based; Muscle Milk; powder,1.0 tbsp,45
Prune juice; canned,1.0 cup,182
Prune puree,2.0 tbsp,93
Prunes; canned; heavy syrup pack; solids and liquids,1.0 cup,246
Prunes; dehydrated (low-moisture); stewed,1.0 cup,316
Prunes; dehydrated (low-moisture); uncooked,1.0 cup,447
Pudding; lemon; dry mix; regular; prepared with sugar; egg yolk and water,0.5 cup,138
Puddings; all flavors except chocolate; low calorie; instant; dry mix,1.0 serving,28
Puddings; all flavors except chocolate; low calorie; regular; dry mix,1.0 serving,397
Puddings; banana; dry mix; instant,1.0 package (3.5 oz),363
Puddings; banana; dry mix; instant; prepared with 2% milk,0.5 cup From 19191,154
Puddings; banana; dry mix; instant; prepared with whole milk,0.5 cup,146
Puddings; banana; dry mix; instant; with added oil,1.0 package (3.5 oz),382
Puddings; banana; dry mix; regular,1.0 package (3.12 oz),322
Puddings; banana; dry mix; regular; prepared with 2% milk,0.5 cup From 19211,143
Puddings; banana; dry mix; regular; prepared with whole milk,0.5 cup,141
Puddings; banana; dry mix; regular; with added oil,1.0 package (3.12 oz),341
Puddings; chocolate flavor; low calorie; instant; dry mix,1.0 serving,35
Puddings; chocolate flavor; low calorie; regular; dry mix,1.0 serving,36
Puddings; chocolate; dry mix; instant,1.0 package (3.5 oz),374
Puddings; chocolate; dry mix; instant; prepared with 2% milk,0.5 cup From 19211,149
Puddings; chocolate; dry mix; instant; prepared with whole milk,0.5 cup,163
Puddings; chocolate; dry mix; regular,1.0 package (3.5 oz),358
Puddings; chocolate; dry mix; regular; prepared with 2% milk,0.5 cup,142
Puddings; chocolate; dry mix; regular; prepared with whole milk,0.5 cup,170
Puddings; chocolate; ready-to-eat,1.0 oz,40
Puddings; chocolate; ready-to-eat; fat free,1.0 serving 4 oz,105
Puddings; coconut cream; dry mix; instant,1.0 package (3.5 oz),411
Puddings; coconut cream; dry mix; instant; prepared with 2% milk,0.5 cup,157
Puddings; coconut cream; dry mix; instant; prepared with whole milk,0.5 cup,172
Puddings; coconut cream; dry mix; regular,1.0 package (3.12 oz),382
Puddings; coconut cream; dry mix; regular; prepared with 2% milk,0.5 cup,146
Puddings; coconut cream; dry mix; regular; prepared with whole milk,0.5 cup,160
Puddings; lemon; dry mix; instant,1.0 package (3.5 oz),374
Puddings; lemon; dry mix; instant; prepared with 2% milk,1.0 serving,9
Puddings; lemon; dry mix; instant; prepared with whole milk,0.5 cup,169
Puddings; lemon; dry mix; regular,1.0 package (3 oz),309
Puddings; lemon; dry mix; regular; with added oil; potassium; sodium,1.0 package (3 oz),311
Puddings; rice; dry mix,1.0 package,399
Puddings; rice; dry mix; prepared with 2% milk,0.5 cup,142
Puddings; rice; dry mix; prepared with whole milk,0.5 cup,155
Puddings; rice; ready-to-eat,1.0 serving 4 oz pudding cup,122
Puddings; tapioca; dry mix,1.0 package (3.5 oz),339
Puddings; tapioca; dry mix; prepared with 2% milk,0.5 cup,134
Puddings; tapioca; dry mix; prepared with whole milk,0.5 cup,147
Puddings; tapioca; dry mix; with no added salt,1.0 package (3.5 oz),339
Puddings; tapioca; ready-to-eat,1.0 oz,37
Puddings; tapioca; ready-to-eat; fat free,1.0 container refrigerated 4 oz,105
Puddings; vanilla; dry mix; instant,1.0 package (3.5 oz),373
Puddings; vanilla; dry mix; instant; prepared with whole milk,0.5 cup,162
Puddings; vanilla; dry mix; regular,1.0 package (3.12 oz),334
Puddings; vanilla; dry mix; regular; prepared with 2% milk,0.5 cup,129
Puddings; vanilla; dry mix; regular; prepared with whole milk,0.5 cup,158
Puddings; vanilla; dry mix; regular; with added oil,1.0 package (3.12 oz),325
Puddings; vanilla; ready-to-eat,1.0 oz,37
Puddings; vanilla; ready-to-eat; fat free,1.0 serving 3.5 oz shelf stable,88
Puff pastry; frozen; ready-to-bake,1.0 oz,156
Puff pastry; frozen; ready-to-bake; baked,1.0 oz,158
Pulled pork in barbecue sauce,1.0 cup,418
Pummelo; raw,1.0 cup; sections,72
Pumpkin flowers; cooked; boiled; drained; without salt,1.0 cup,20
Pumpkin flowers; raw,1.0 cup,5
Pumpkin leaves; cooked; boiled; drained; with salt,1.0 cup,15
Pumpkin leaves; cooked; boiled; drained; without salt,1.0 cup,15
Pumpkin leaves; raw,1.0 cup,7
Pumpkin pie mix; canned,1.0 cup,281
Pumpkin; canned; with salt,1.0 cup,83
Pumpkin; canned; without salt,1.0 cup,83
Pumpkin; cooked; boiled; drained; with salt,1.0 cup; mashed,44
Pumpkin; cooked; boiled; drained; without salt,1.0 cup; mashed,49
Pumpkin; flowers; cooked; boiled; drained; with salt,1.0 cup,20
Pumpkin; raw,"1.0 cup (1"" cubes)",30
Purslane; cooked; boiled; drained; with salt,1.0 cup,21
Purslane; cooked; boiled; drained; without salt,1.0 cup,21
Purslane; raw,1.0 cup,9
Quail; breast; meat only; raw,3.0 oz,105
Quail; cooked; total edible,1.0 oz,64
Quail; meat and skin; raw,1.0 quail,209
Quail; meat only; raw,1.0 quail,123
Queso cotija,2.0 tsp,18
Quinces; raw,1.0 fruit without refuse,52
Quinoa; cooked,1.0 cup,222
Quinoa; uncooked,1.0 cup,626
Radicchio; raw,1.0 cup; shredded,9
Radish seeds; sprouted; raw,1.0 cup,16
Radishes; hawaiian style; pickled,1.0 cup,42
Radishes; oriental; cooked; boiled; drained; with salt,1.0 cup slices,25
Radishes; oriental; cooked; boiled; drained; without salt,1.0 cup; sliced,25
Radishes; oriental; dried,1.0 cup,314
Radishes; oriental; raw,1.0 cup slices,21
Radishes; raw,1.0 cup slices,19
Radishes; white icicle; raw,0.5 cup slices,7
Raisins; golden seedless,1.0 cup; packed,498
Raisins; seeded,1.0 cup; packed,488
Raisins; seedless,1.0 cup; packed,493
Rambutan; canned; syrup pack,1.0 cup; drained,123
Raspberries; canned; red; heavy syrup pack; solids and liquids,1.0 cup,233
Raspberries; frozen; red; sweetened,1.0 cup; thawed,258
Raspberries; frozen; unsweetened,1.0 cup; unthawed,73
Raspberries; raw,1.0 cup,64
Raspberries; wild (Northern Plains Indians),1.0 cup,81
Ravioli; cheese with tomato sauce; frozen; not prepared; includes regular and light entrees,1.0 cup,176
Ravioli; cheese-filled; canned,1.0 cup,186
Ravioli; meat-filled; with tomato sauce or meat sauce; canned,1.0 cup,254
Ready-to-drink reduced fat milk beverage; flavored and sweetened; with added calcium; vitamin A and vitamin D,1.0 cup,188
Reddi Wip Fat Free Whipped Topping,1.0 tablespoon,6
Refried beans; canned; fat-free,1.0 cup,182
Refried beans; canned; traditional style (includes USDA commodity),1.0 cup,214
Refried beans; canned; traditional; reduced sodium,1.0 cup,212
Refried beans; canned; vegetarian,1.0 cup,201
Restaurant; Chinese; beef and vegetables,1.0 order,603
Restaurant; Chinese; chicken and vegetables,1.0 order,658
Restaurant; Chinese; chicken chow mein,1.0 order,513
Restaurant; Chinese; egg rolls; assorted,1.0 piece,222
Restaurant; Chinese; fried rice; without meat,1.0 cup,238
Restaurant; Chinese; general tso's chicken,1.0 order,1578
Restaurant; Chinese; kung pao chicken,1.0 order,779
Restaurant; Chinese; lemon chicken,1.0 order,1570
Restaurant; Chinese; orange chicken,1.0 order,1698
Restaurant; Chinese; shrimp and vegetables,1.0 order,469
Restaurant; Chinese; sweet and sour chicken,1.0 order,1765
Restaurant; Chinese; sweet and sour pork,1.0 order,1644
Restaurant; Chinese; vegetable chow mein; without meat or noodles,1.0 order,334
Restaurant; Chinese; vegetable lo mein; without meat,1.0 order,897
Restaurant; family style; chicken fingers; from kid's menu,1.0 serving,350
Restaurant; family style; chicken tenders,1.0 serving,607
Restaurant; family style; chili with meat and beans,1.0 cup,214
Restaurant; family style; coleslaw,1.0 serving,172
Restaurant; family style; fish fillet; battered or breaded; fried,1.0 serving,495
Restaurant; family style; french fries,1.0 serving,491
Restaurant; family style; fried mozzarella sticks,1.0 serving,796
Restaurant; family style; hash browns,1.0 cup,185
Restaurant; family style; macaroni  &  cheese; from kids' menu,1.0 cup,205
Restaurant; family style; onion rings,1.0 serving,922
Restaurant; family style; shrimp; breaded and fried,1.0 serving,521
Restaurant; family style; sirloin steak,1.0 serving,324
Restaurant; family style; spaghetti and meatballs,1.0 cup,228
Restaurant; Italian; cheese ravioli with marinara sauce,1.0 serving serving size varied by diameter and count of raviloi,658
Restaurant; Italian; chicken parmesan without pasta,1.0 serving,614
Restaurant; Italian; lasagna with meat,1.0 serving,845
Restaurant; Italian; spaghetti with meat sauce,1.0 serving,670
Restaurant; Italian; spaghetti with pomodoro sauce (no meat),1.0 serving,530
Restaurant; Latino; arepa (unleavened cornmeal bread),1.0 piece,215
Restaurant; Latino; Arroz con frijoles negros (rice and black beans),1.0 serving,696
Restaurant; Latino; Arroz con grandules (rice and pigeonpeas),1.0 serving,1188
Restaurant; Latino; Arroz con habichuelas colorados (Rice And Red Beans),1.0 serving,838
Restaurant; Latino; arroz con leche (rice pudding),1.0 serving,413
Restaurant; Latino; black bean soup,1.0 cup,253
Restaurant; Latino; bunuelos (fried yeast bread),1.0 piece,323
Restaurant; Latino; chicken and rice; entree; prepared,1.0 cup,245
Restaurant; Latino; empanadas; beef; prepared,1.0 piece,298
Restaurant; Latino; pupusas con frijoles (pupusas; bean),1.0 piece,289
Restaurant; Latino; pupusas con queso (pupusas; cheese),1.0 piece,300
Restaurant; Latino; pupusas del cerdo (pupusas; pork),1.0 piece,283
Restaurant; Latino; tamale; corn,1.0 piece,309
Restaurant; Latino; tamale; pork,1.0 piece,247
Restaurant; Latino; tripe soup,1.0 cup,148
Restaurant; Mexican; cheese enchilada,1.0 serving serving size varied from 1 to 3 enchiladas,666
Restaurant; Mexican; cheese quesadilla,1.0 serving serving size varied on diameter and count of quesadila,754
Restaurant; Mexican; cheese tamales,1.0 serving serving size varied from 1 to 3 tamales,652
Restaurant; Mexican; refried beans,1.0 cup,231
Restaurant; Mexican; soft taco with ground beef; cheese and lettuce,1.0 serving varied from 1 to 3 tacos per serving,615
Restaurant; Mexican; spanish rice,1.0 cup,215
Rhubarb; frozen; cooked; with sugar,1.0 cup,278
Rhubarb; frozen; uncooked,1.0 cup; diced,29
Rhubarb; raw,1.0 cup; diced,26
Rice and vermicelli mix; beef flavor; prepared with 80% margarine,1.0 cup,319
Rice and vermicelli mix; beef flavor; unprepared,0.333 cup,219
Rice and vermicelli mix; chicken flavor; prepared with 80% margarine,1.0 cup,317
Rice and vermicelli mix; chicken flavor; unprepared,0.333 cup,200
Rice and vermicelli mix; rice pilaf flavor; prepared with 80% margarine,1.0 cup,352
Rice and vermicelli mix; rice pilaf flavor; unprepared,0.333 cup,244
Rice and Wheat cereal bar,1.0 bar,90
Rice bowl with chicken; frozen entree; prepared (includes fried; teriyaki; and sweet and sour varieties),1.0 bowl,428
Rice bran; crude,1.0 cup,373
Rice cake; cracker (include hain mini rice cakes),1.0 cubic inch,16
Rice drink; unsweetened; with added calcium; vitamins A and D,8.0 fl oz (approximate weight; 1 serving),113
Rice flour; brown,1.0 cup,574
Rice flour; white,1.0 cup,578
Rice noodles; cooked,1.0 cup,190
Rice noodles; dry,2.0 oz,207
Rice; brown; long-grain; cooked,1.0 cup,216
Rice; brown; long-grain; raw,1.0 cup,684
Rice; brown; medium-grain; cooked,1.0 cup,218
Rice; brown; medium-grain; raw,1.0 cup,688
Rice; white; glutinous; cooked,1.0 cup,169
Rice; white; glutinous; raw,1.0 cup,684
